,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
284,3.28E-07,-5.55E-17,1.225687383,,6.10E-05,0
285,3.28E-07,-3.70E-17,1.189906414,,91.97051336,0
286,3.28E-07,-1.85E-17,1.211349016,,88.5047775,0
287,3.28E-07,-3.70E-17,1.212227346,,88.5047775,0
288,3.28E-07,1.85E-17,1.209428129,,91.97051336,0
289,3.28E-07,0,1.185471499,,,0
290,3.28E-07,0,1.185471499,,,0
291,3.28E-07,0,1.185471499,,,0
292,3.28E-07,0,1.185471499,,,0
293,3.28E-07,0,1.185471499,,,0
294,3.28E-07,-1.11E-16,1.228486599,,,0
295,3.28E-07,0,1.185471499,,,0
296,3.28E-07,0,1.185471499,,,0
297,3.28E-07,0,1.185471499,,,0
298,3.28E-07,-1.11E-16,1.228486599,,,0
299,3.28E-07,-1.11E-16,1.228486599,,,0
300,3.28E-07,-1.11E-16,1.228486599,,,0
301,3.28E-07,0,1.185471499,,,0
302,3.28E-07,0,1.185471499,,,0
303,3.28E-07,-1.11E-16,1.228486599,,,0
304,3.28E-07,0,1.185471499,,,0
305,3.28E-07,-1.11E-16,1.228486599,,,0
306,3.28E-07,0,1.222723939,,,0
307,3.28E-07,0,1.222723939,,,0
308,3.28E-07,-2.22E-17,1.205299519,,18.61503451,0
309,3.28E-07,-1.91E-17,1.189336274,,16.52316014,0
310,3.97E-08,-1.65E-17,1.198676837,,16.62715247,0
311,3.28E-07,-1.39E-17,1.205933115,3.249510325,14.50373295,0
312,-2.05E-07,8.33E-17,1.192957267,,122.9979442,0
313,-2.05E-07,6.16E-17,1.199763875,,47.264567,0
314,3.97E-08,3.56E-17,1.207152214,,15.4314936,0
315,-2.05E-07,5.98E-17,1.202085481,3.23188433,101.4593188,0
316,3.64E-07,-1.11E-17,1.203671841,,13.82646443,0
317,3.64E-07,-1.13E-17,1.203154003,,13.67261227,0
318,3.97E-08,5.12E-17,1.208972315,,13.66329202,0
319,3.64E-07,-5.20E-18,1.198452325,3.220021443,19.1445996,0
320,7.09E-07,-5.00E-17,1.215613645,,20.40682769,0
321,7.09E-07,-3.99E-17,1.196853947,,15.77964894,0
322,3.97E-08,-1.13E-17,1.207115197,,15.89954576,0
323,7.09E-07,-5.64E-17,1.204460252,3.256809513,12.6709162,0
324,1.63E-07,-8.88E-17,1.20911677,,13.62456706,0
325,1.63E-07,-6.94E-18,1.195125679,,15.20860173,0
326,3.97E-08,0,1.206046862,,15.271121,0
327,1.63E-07,-4.51E-17,1.204884354,3.243467683,15.06989741,0
328,-2.05E-07,-5.55E-18,1.198937932,,123.8652244,0
329,-2.05E-07,3.47E-18,1.1816914,,59.16373123,0
330,3.97E-08,-6.94E-18,1.195344861,,19.57372996,0
331,-2.05E-07,1.82E-17,1.204836953,3.242143137,77.66067651,0
332,1.09E-07,-7.77E-17,1.205101438,,19.28922009,0
333,1.09E-07,-2.08E-17,1.187716419,,15.70880572,0
334,3.97E-08,4.25E-17,1.197147124,,16.0297244,0
335,1.09E-07,-1.23E-16,1.201974062,3.24589788,14.24253761,0
336,1.17E-07,-2.22E-17,1.207088307,,18.6796246,0
337,1.17E-07,-1.39E-17,1.194715223,,17.98180971,0
338,3.97E-08,0,1.208513716,,18.70727796,0
339,1.17E-07,-2.86E-17,1.201512813,3.24122689,13.87174142,0
340,2.46E-07,-4.44E-17,1.216045592,,44.21433549,0
341,2.46E-07,-1.91E-17,1.188549491,,14.75450417,0
342,3.97E-08,4.34E-18,1.200291759,,14.96577396,0
343,2.46E-07,-1.56E-17,1.198998531,3.235644259,15.59802102,0
344,3.43E-08,-1.11E-17,1.194234107,,48.08257984,0
345,3.43E-08,2.08E-17,1.187863553,,14.47652626,0
346,3.97E-08,1.13E-17,1.199371377,,14.77457703,0
347,3.43E-08,0,1.197017322,3.24246608,15.23421297,0.01
348,-1.92E-07,0,1.180345525,,259.8512833,0
349,-1.92E-07,0,1.201895595,,145.4626424,0
350,-1.92E-07,0,1.20545302,,106.8619298,0
351,-1.92E-07,0,1.204015735,,93.59095398,0
352,-1.92E-07,0,1.206192937,,83.55081355,0.01
353,-1.92E-07,0,1.20762342,,72.86693569,0
354,-1.92E-07,0,1.21082498,,64.30764335,0
355,-1.92E-07,0,1.204088782,,58.92746075,0
356,-1.92E-07,0,1.188530835,,65.83654679,0
357,-1.92E-07,0,1.198040899,,59.7568502,0.01
358,-1.92E-07,-2.78E-18,1.190746887,,80.18355977,0
359,-1.92E-07,0,1.202326837,,68.1110509,0
360,-1.92E-07,0,1.209290632,,69.76931497,0
361,-1.92E-07,0,1.197194414,,78.05124122,0
362,-1.92E-07,0,1.203843311,,65.15000806,0
363,-1.92E-07,0,1.191789783,,68.35939935,0
364,-1.92E-07,0,1.197458453,,75.5743116,0
365,-1.92E-07,0,1.182571564,,62.5474901,0
366,-1.92E-07,0,1.190031297,,68.46025319,0
367,-1.92E-07,0,1.201055532,,73.88326894,0
368,-1.92E-07,0,1.199755635,,94.45240809,0
369,-1.92E-07,0,1.197461014,,85.15781034,0
370,-1.92E-07,0,1.173282787,,133.604233,0
371,-1.92E-07,0,1.178572015,,137.044209,0
372,-1.92E-07,0,1.166495936,,166.3897557,0
373,-1.92E-07,0,1.199728928,,257.8895916,0
374,-1.92E-07,0,1.210803062,,144.6379334,0
